delta_t,threshold,cluster_id,best_t_days,mean_bmi,group_name
14,0.04400000000000001,4,96,32.88320441884776,群组4
14,0.04400000000000001,5,161,38.321496709430576,群组6
14,0.04400000000000001,6,72,20.703125,群组1
14,0.04500000000000001,0,147,44.343701177,群组7
14,0.04500000000000001,1,107,30.83436199041856,群组3
14,0.04500000000000001,2,126,35.10079343899152,群组5
14,0.04500000000000001,3,103,29.0050345231067,群组2
14,0.04500000000000001,4,99,32.88320441884776,群组4
14,0.04500000000000001,5,162,38.321496709430576,群组6
14,0.04500000000000001,6,73,20.703125,群组1
16,0.035,0,107,44.343701177,群组7
16,0.035,1,92,30.83436199041856,群组3
16,0.035,2,104,35.10079343899152,群组5
16,0.035,3,87,29.0050345231067,群组2
16,0.035,4,86,32.88320441884776,群组4
16,0.035,5,152,38.321496709430576,群组6
16,0.035,6,70,20.703125,群组1
16,0.036000000000000004,0,110,44.343701177,群组7
16,0.036000000000000004,1,95,30.83436199041856,群组3
16,0.036000000000000004,2,107,35.10079343899152,群组5
16,0.036000000000000004,3,90,29.0050345231067,群组2
16,0.036000000000000004,4,88,32.88320441884776,群组4
16,0.036000000000000004,5,154,38.321496709430576,群组6
16,0.036000000000000004,6,70,20.703125,群组1
16,0.037000000000000005,0,112,44.343701177,群组7
16,0.037000000000000005,1,97,30.83436199041856,群组3
16,0.037000000000000005,2,110,35.10079343899152,群组5
16,0.037000000000000005,3,92,29.0050345231067,群组2
16,0.037000000000000005,4,90,32.88320441884776,群组4
16,0.037000000000000005,5,155,38.321496709430576,群组6
16,0.037000000000000005,6,70,20.703125,群组1
16,0.038000000000000006,0,116,44.343701177,群组7
16,0.038000000000000006,1,100,30.83436199041856,群组3
16,0.038000000000000006,2,112,35.10079343899152,群组5
16,0.038000000000000006,3,94,29.0050345231067,群组2
16,0.038000000000000006,4,93,32.88320441884776,群组4
16,0.038000000000000006,5,157,38.321496709430576,群组6
16,0.038000000000000006,6,70,20.703125,群组1
16,0.03900000000000001,0,119,44.343701177,群组7
16,0.03900000000000001,1,102,30.83436199041856,群组3
16,0.03900000000000001,2,115,35.10079343899152,群组5
16,0.03900000000000001,3,97,29.0050345231067,群组2
16,0.03900000000000001,4,95,32.88320441884776,群组4
16,0.03900000000000001,5,158,38.321496709430576,群组6
16,0.03900000000000001,6,70,20.703125,群组1
16,0.04000000000000001,0,123,44.343701177,群组7
16,0.04000000000000001,1,105,30.83436199041856,群组3
16,0.04000000000000001,2,118,35.10079343899152,群组5
16,0.04000000000000001,3,99,29.0050345231067,群组2
16,0.04000000000000001,4,98,32.88320441884776,群组4
16,0.04000000000000001,5,159,38.321496709430576,群组6
16,0.04000000000000001,6,70,20.703125,群组1
16,0.04100000000000001,0,128,44.343701177,群组7
16,0.04100000000000001,1,108,30.83436199041856,群组3
16,0.04100000000000001,2,121,35.10079343899152,群组5
16,0.04100000000000001,3,102,29.0050345231067,群组2
16,0.04100000000000001,4,101,32.88320441884776,群组4
16,0.04100000000000001,5,160,38.321496709430576,群组6
16,0.04100000000000001,6,70,20.703125,群组1
16,0.04200000000000001,0,147,44.343701177,群组7
16,0.04200000000000001,1,111,30.83436199041856,群组3
16,0.04200000000000001,2,124,35.10079343899152,群组5
16,0.04200000000000001,3,104,29.0050345231067,群组2
16,0.04200000000000001,4,103,32.88320441884776,群组4
16,0.04200000000000001,5,161,38.321496709430576,群组6
16,0.04200000000000001,6,70,20.703125,群组1
16,0.04300000000000001,0,150,44.343701177,群组7
16,0.04300000000000001,1,114,30.83436199041856,群组3
16,0.04300000000000001,2,127,35.10079343899152,群组5
16,0.04300000000000001,3,107,29.0050345231067,群组2
16,0.04300000000000001,4,106,32.88320441884776,群组4
16,0.04300000000000001,5,162,38.321496709430576,群组6
16,0.04300000000000001,6,71,20.703125,群组1
16,0.04400000000000001,0,153,44.343701177,群组7
16,0.04400000000000001,1,117,30.83436199041856,群组3
16,0.04400000000000001,2,131,35.10079343899152,群组5
16,0.04400000000000001,3,110,29.0050345231067,群组2
16,0.04400000000000001,4,109,32.88320441884776,群组4
16,0.04400000000000001,5,163,38.321496709430576,群组6
